model1,model2,equivalent,not_equivalent,total_valid,equivalent_pct
Ground Truth,claude-3.5-sonnet_few_shot,183,109,292,62.67
Ground Truth,claude-3.5-sonnet_zero_shot,171,119,290,58.97
Ground Truth,claude-3.5-sonnet_zero_shot_self_refine,106,81,187,56.68
Ground Truth,gemini-1.5-flash_few_shot,126,145,271,46.49
Ground Truth,gemini-1.5-flash_zero_shot,123,148,271,45.39
Ground Truth,gemini-1.5-flash_zero_shot_self_refine,129,141,270,47.78
Ground Truth,gemini-1.5-pro_few_shot,143,108,251,56.97
Ground Truth,gemini-1.5-pro_zero_shot,145,105,250,58.0
Ground Truth,gemini-1.5-pro_zero_shot_self_refine,145,105,250,58.0
Ground Truth,gemini-2.5-flash_few_shot,172,117,289,59.52
Ground Truth,gemini-2.5-flash_zero_shot,175,115,290,60.34
Ground Truth,gemini-2.5-flash_zero_shot_self_refine,177,115,292,60.62
claude-3.5-sonnet_few_shot,claude-3.5-sonnet_zero_shot,246,48,294,83.67
claude-3.5-sonnet_few_shot,claude-3.5-sonnet_zero_shot_self_refine,157,32,189,83.07
claude-3.5-sonnet_few_shot,gemini-1.5-flash_few_shot,159,117,276,57.61
claude-3.5-sonnet_few_shot,gemini-1.5-flash_zero_shot,155,121,276,56.16
claude-3.5-sonnet_few_shot,gemini-1.5-flash_zero_shot_self_refine,160,114,274,58.39
claude-3.5-sonnet_few_shot,gemini-1.5-pro_few_shot,187,68,255,73.33
claude-3.5-sonnet_few_shot,gemini-1.5-pro_zero_shot,188,65,253,74.31
claude-3.5-sonnet_few_shot,gemini-1.5-pro_zero_shot_self_refine,190,63,253,75.1
claude-3.5-sonnet_few_shot,gemini-2.5-flash_few_shot,214,75,289,74.05
claude-3.5-sonnet_few_shot,gemini-2.5-flash_zero_shot,222,70,292,76.03
claude-3.5-sonnet_few_shot,gemini-2.5-flash_zero_shot_self_refine,231,64,295,78.31
claude-3.5-sonnet_zero_shot,claude-3.5-sonnet_zero_shot_self_refine,161,28,189,85.19
claude-3.5-sonnet_zero_shot,gemini-1.5-flash_few_shot,157,117,274,57.3
claude-3.5-sonnet_zero_shot,gemini-1.5-flash_zero_shot,155,121,276,56.16
claude-3.5-sonnet_zero_shot,gemini-1.5-flash_zero_shot_self_refine,157,115,272,57.72
claude-3.5-sonnet_zero_shot,gemini-1.5-pro_few_shot,182,72,254,71.65
claude-3.5-sonnet_zero_shot,gemini-1.5-pro_zero_shot,182,71,253,71.94
claude-3.5-sonnet_zero_shot,gemini-1.5-pro_zero_shot_self_refine,186,66,252,73.81
claude-3.5-sonnet_zero_shot,gemini-2.5-flash_few_shot,213,75,288,73.96
claude-3.5-sonnet_zero_shot,gemini-2.5-flash_zero_shot,216,73,289,74.74
claude-3.5-sonnet_zero_shot,gemini-2.5-flash_zero_shot_self_refine,220,72,292,75.34
claude-3.5-sonnet_zero_shot_self_refine,gemini-1.5-flash_few_shot,98,78,176,55.68
claude-3.5-sonnet_zero_shot_self_refine,gemini-1.5-flash_zero_shot,95,80,175,54.29
claude-3.5-sonnet_zero_shot_self_refine,gemini-1.5-flash_zero_shot_self_refine,100,74,174,57.47
claude-3.5-sonnet_zero_shot_self_refine,gemini-1.5-pro_few_shot,117,41,158,74.05
