Index,Natural Language,Ground Truth,Model,Model Output,Match Status,NL Length,GT Nesting Depth,GT Operators,Model Nesting Depth,Model Operators,Operator Overlap,Missing in Model,Extra in Model
0,it eventually holds that if x1 is true then x2 is true thereafter,F(x1->G(x2)),claude-3.5-sonnet_few_shot,F((x1 -> G(x2))),WRONG,13,2,"->, F, G",3,"->, F, G","->, F, G",,
0,it eventually holds that if x1 is true then x2 is true thereafter,F(x1->G(x2)),claude-3.5-sonnet_zero_shot,F((x1 -> G(x2))),WRONG,13,2,"->, F, G",3,"->, F, G","->, F, G",,
0,it eventually holds that if x1 is true then x2 is true thereafter,F(x1->G(x2)),claude-3.5-sonnet_zero_shot_self_refine,F((x1 -> G(x2))),WRONG,13,2,"->, F, G",3,"->, F, G","->, F, G",,
0,it eventually holds that if x1 is true then x2 is true thereafter,F(x1->G(x2)),gemini-1.5-flash_few_shot,F((x1 -> G(X(x2)))),WRONG,13,2,"->, F, G",4,"->, F, G, X","->, F, G",,X
0,it eventually holds that if x1 is true then x2 is true thereafter,F(x1->G(x2)),gemini-1.5-flash_zero_shot,F((x1 -> G(x2))),WRONG,13,2,"->, F, G",3,"->, F, G","->, F, G",,
0,it eventually holds that if x1 is true then x2 is true thereafter,F(x1->G(x2)),gemini-1.5-flash_zero_shot_self_refine,F((x1 -> G(X(x2)))),WRONG,13,2,"->, F, G",4,"->, F, G, X","->, F, G",,X
0,it eventually holds that if x1 is true then x2 is true thereafter,F(x1->G(x2)),gemini-1.5-pro_few_shot,F((x1 -> G(x2))),WRONG,13,2,"->, F, G",3,"->, F, G","->, F, G",,
0,it eventually holds that if x1 is true then x2 is true thereafter,F(x1->G(x2)),gemini-1.5-pro_zero_shot,F((x1 -> G(x2))),WRONG,13,2,"->, F, G",3,"->, F, G","->, F, G",,
0,it eventually holds that if x1 is true then x2 is true thereafter,F(x1->G(x2)),gemini-1.5-pro_zero_shot_self_refine,F((x1 -> G(x2))),WRONG,13,2,"->, F, G",3,"->, F, G","->, F, G",,
0,it eventually holds that if x1 is true then x2 is true thereafter,F(x1->G(x2)),gemini-2.5-flash_few_shot,F((x1 -> G(x2))),WRONG,13,2,"->, F, G",3,"->, F, G","->, F, G",,
0,it eventually holds that if x1 is true then x2 is true thereafter,F(x1->G(x2)),gemini-2.5-flash_zero_shot,F((x1 & G(x2))),WRONG,13,2,"->, F, G",3,"&, F, G","F, G",->,&
0,it eventually holds that if x1 is true then x2 is true thereafter,F(x1->G(x2)),gemini-2.5-flash_zero_shot_self_refine,F((x1 -> G(x2))),WRONG,13,2,"->, F, G",3,"->, F, G","->, F, G",,
1,"whenever x1 is true, it becomes false in the next state and true again in the state after that",G(x1->(X(!x1)&X(X(x1)))),claude-3.5-sonnet_few_shot,G((x1 -> (X(!(x1)) & X(X(x1))))),WRONG,19,5,"G, X",7,"G, X","G, X",,
1,"whenever x1 is true, it becomes false in the next state and true again in the state after that",G(x1->(X(!x1)&X(X(x1)))),claude-3.5-sonnet_zero_shot,G((x1 -> (X(!(x1)) & X(X(x1))))),WRONG,19,5,"G, X",7,"G, X","G, X",,
1,"whenever x1 is true, it becomes false in the next state and true again in the state after that",G(x1->(X(!x1)&X(X(x1)))),claude-3.5-sonnet_zero_shot_self_refine,G((x1 -> (X(!(x1)) & X(X(x1))))),WRONG,19,5,"G, X",7,"G, X","G, X",,
1,"whenever x1 is true, it becomes false in the next state and true again in the state after that",G(x1->(X(!x1)&X(X(x1)))),gemini-1.5-flash_few_shot,G((x1 -> (!(X(x1)) & X(X(x1))))),WRONG,19,5,"G, X",7,"G, X","G, X",,
1,"whenever x1 is true, it becomes false in the next state and true again in the state after that",G(x1->(X(!x1)&X(X(x1)))),gemini-1.5-flash_zero_shot,G((x1 -> (!(X(x1)) & X(X(x1))))),WRONG,19,5,"G, X",7,"G, X","G, X",,
1,"whenever x1 is true, it becomes false in the next state and true again in the state after that",G(x1->(X(!x1)&X(X(x1)))),gemini-1.5-flash_zero_shot_self_refine,G((x1 -> (!(X(x1)) & X(X(x1))))),WRONG,19,5,"G, X",7,"G, X","G, X",,
1,"whenever x1 is true, it becomes false in the next state and true again in the state after that",G(x1->(X(!x1)&X(X(x1)))),gemini-1.5-pro_few_shot,G((x1 -> (!(X(x1)) & X(X(x1))))),WRONG,19,5,"G, X",7,"G, X","G, X",,
1,"whenever x1 is true, it becomes false in the next state and true again in the state after that",G(x1->(X(!x1)&X(X(x1)))),gemini-1.5-pro_zero_shot,G((x1 -> (!(X(x1)) & X(X(x1))))),WRONG,19,5,"G, X",7,"G, X","G, X",,
1,"whenever x1 is true, it becomes false in the next state and true again in the state after that",G(x1->(X(!x1)&X(X(x1)))),gemini-1.5-pro_zero_shot_self_refine,G((x1 -> (!(X(x1)) & X(X(x1))))),WRONG,19,5,"G, X",7,"G, X","G, X",,
1,"whenever x1 is true, it becomes false in the next state and true again in the state after that",G(x1->(X(!x1)&X(X(x1)))),gemini-2.5-flash_few_shot,G((x1 -> (X(!(x1)) & X(X(x1))))),WRONG,19,5,"G, X",7,"G, X","G, X",,
1,"whenever x1 is true, it becomes false in the next state and true again in the state after that",G(x1->(X(!x1)&X(X(x1)))),gemini-2.5-flash_zero_shot,G((x1 -> (X(!(x1)) & X(X(x1))))),WRONG,19,5,"G, X",7,"G, X","G, X",,
1,"whenever x1 is true, it becomes false in the next state and true again in the state after that",G(x1->(X(!x1)&X(X(x1)))),gemini-2.5-flash_zero_shot_self_refine,G((x1 -> (X(!(x1)) & X(X(x1))))),WRONG,19,5,"G, X",7,"G, X","G, X",,
2,x1 is true sometime after 4 or more transitions,X(X(X(X(F(x1))))),claude-3.5-sonnet_few_shot,X(X(X(X(F(x1))))),EXACT,9,5,"F, X",5,"F, X","F, X",,
2,x1 is true sometime after 4 or more transitions,X(X(X(X(F(x1))))),claude-3.5-sonnet_zero_shot,X(X(X(X(F(x1))))),EXACT,9,5,"F, X",5,"F, X","F, X",,
2,x1 is true sometime after 4 or more transitions,X(X(X(X(F(x1))))),claude-3.5-sonnet_zero_shot_self_refine,X(X(X(X(F(x1))))),EXACT,9,5,"F, X",5,"F, X","F, X",,
2,x1 is true sometime after 4 or more transitions,X(X(X(X(F(x1))))),gemini-1.5-flash_few_shot,F((x1 & X(X(X(X(True)))))),WRONG,9,5,"F, X",6,"&, F, X","F, X",,&
2,x1 is true sometime after 4 or more transitions,X(X(X(X(F(x1))))),gemini-1.5-flash_zero_shot,F((x1 & (X(X(X(X(True)))) & True))),WRONG,9,5,"F, X",7,"F, X","F, X",,
2,x1 is true sometime after 4 or more transitions,X(X(X(X(F(x1))))),gemini-1.5-flash_zero_shot_self_refine,F((x1 & (X(X(X(X(True)))) & True))),WRONG,9,5,"F, X",7,"F, X","F, X",,
2,x1 is true sometime after 4 or more transitions,X(X(X(X(F(x1))))),gemini-1.5-pro_few_shot,F(X(X(X(X(x1))))),WRONG,9,5,"F, X",5,"F, X","F, X",,
