Model,Approach,Entail_Yes_GT_to_Pred,Entail_No_GT_to_Pred,Entail_Error_GT_to_Pred,Entail_Not_Meaningful_GT_to_Pred,Accuracy_GT_to_Pred (%),Entail_Yes_Pred_to_GT,Entail_No_Pred_to_GT,Entail_Error_Pred_to_GT,Entail_Not_Meaningful_Pred_to_GT,Accuracy_Pred_to_GT (%),Equivalent,Not_Equivalent,Equiv_Error,Equiv_Not_Meaningful,Equivalence_Accuracy (%),Syntactic_Correctness_Rate (%),Syntactic_Match_Rate (%),Precision (%),Recall (%),F1 (%)
claude-sonnet,few_shot,179,59,43,3,75.21,174,61,43,6,74.04,135,103,43,3,56.72,85.92,7.75,56.72,75.21,64.67
claude-sonnet,zero_shot,132,56,58,38,70.21,122,45,58,59,73.05,93,95,58,38,49.47,80.28,3.87,49.47,70.21,58.04
claude-sonnet,zero_shot_self_refine,142,51,46,45,73.58,128,43,46,67,74.85,101,92,46,45,52.33,84.51,3.17,52.33,73.58,61.16
gemini,few_shot,194,47,35,8,80.5,196,46,35,7,80.99,158,83,35,8,65.56,88.03,12.68,65.56,80.5,72.27
gemini,zero_shot,161,56,25,42,74.19,136,34,25,89,80.0,121,96,25,42,55.76,91.9,5.63,55.76,74.19,63.67
gemini,zero_shot_self_refine,150,66,35,33,69.44,152,34,35,63,81.72,121,95,35,33,56.02,88.38,7.04,56.02,69.44,62.01
gpt-3.5-turbo,few_shot,147,76,40,21,65.92,137,60,40,47,69.54,95,128,40,21,42.6,86.97,1.41,42.6,65.92,51.76
gpt-3.5-turbo,zero_shot,99,64,67,54,60.74,83,39,67,95,68.03,62,101,67,54,38.04,77.11,1.41,38.04,60.74,46.78
gpt-3.5-turbo,zero_shot_self_refine,112,55,79,38,67.07,98,46,79,61,68.06,68,99,79,38,40.72,72.18,1.06,40.72,67.07,50.67
gpt-4o-mini,few_shot,181,67,35,1,72.98,177,68,35,4,72.24,135,113,35,1,54.44,88.73,9.86,54.44,72.98,62.36
gpt-4o-mini,zero_shot,192,51,35,6,79.01,186,57,35,6,76.54,147,96,35,6,60.49,88.73,4.93,60.49,79.01,68.52
gpt-4o-mini,zero_shot_self_refine,182,52,46,4,77.78,173,59,46,6,74.57,137,97,46,4,58.55,84.86,5.28,58.55,77.78,66.81
gpt-4o,few_shot,212,52,16,4,80.3,214,49,16,5,81.37,176,88,16,4,66.67,95.42,16.55,66.67,80.3,72.85
gpt-4o,zero_shot,202,48,21,13,80.8,190,53,21,20,78.19,160,90,21,13,64.0,93.66,9.15,64.0,80.8,71.43
gpt-4o,zero_shot_self_refine,183,57,33,11,76.25,178,52,33,21,77.39,143,97,33,11,59.58,89.08,6.69,59.58,76.25,66.89
