Model,Approach,Entail_Yes_GT_to_Pred,Entail_No_GT_to_Pred,Entail_Error_GT_to_Pred,Entail_Not_Meaningful_GT_to_Pred,Accuracy_GT_to_Pred (%),Entail_Yes_Pred_to_GT,Entail_No_Pred_to_GT,Entail_Error_Pred_to_GT,Entail_Not_Meaningful_Pred_to_GT,Accuracy_Pred_to_GT (%),Equivalent,Not_Equivalent,Equiv_Error,Equiv_Not_Meaningful,Equivalence_Accuracy (%),Syntactic_Correctness_Rate (%),Syntactic_Match_Rate (%),Precision (%),Recall (%),F1 (%)
claude-sonnet,few_shot,207,82,8,7,71.63,201,90,8,5,69.07,162,127,8,7,56.06,98.68,20.39,56.06,71.63,62.89
claude-sonnet,zero_shot,201,83,10,10,70.77,200,80,10,14,71.43,159,125,10,10,55.99,98.03,17.11,55.99,70.77,62.52
claude-sonnet,zero_shot_self_refine,204,84,9,7,70.83,200,86,9,9,69.93,162,126,9,7,56.25,98.36,17.11,56.25,70.83,62.7
gemini-1.5-flash,few_shot,144,87,23,50,62.34,145,84,23,52,63.32,107,124,23,50,46.32,93.75,10.53,46.32,62.34,53.15
gemini-1.5-flash,zero_shot,138,85,19,62,61.88,130,78,19,77,62.5,98,125,19,62,43.95,95.07,4.61,43.95,61.88,51.39
gemini-1.5-flash,zero_shot_self_refine,155,99,11,39,61.02,148,91,11,54,61.92,110,144,11,39,43.31,97.7,3.62,43.31,61.02,50.66
gpt-3.5-turbo,few_shot,96,98,46,64,49.48,38,146,46,74,20.65,19,175,46,64,9.79,86.18,2.63,9.79,49.48,16.35
gpt-3.5-turbo,zero_shot,105,141,30,28,42.68,96,148,30,30,39.34,49,197,30,28,19.92,91.12,0.66,19.92,42.68,27.16
gpt-3.5-turbo,zero_shot_self_refine,111,128,11,54,46.44,103,131,11,59,44.02,58,181,11,54,24.27,97.04,1.32,24.27,46.44,31.88
gpt-4o-mini,few_shot,184,103,4,13,64.11,146,148,4,6,49.66,112,175,4,13,39.02,100.0,13.82,39.02,64.11,48.52
gpt-4o-mini,zero_shot,190,104,5,5,64.63,165,131,5,3,55.74,117,177,5,5,39.8,99.67,1.97,39.8,64.63,49.26
gpt-4o-mini,zero_shot_self_refine,177,117,6,4,60.2,161,132,6,5,54.95,116,178,6,4,39.46,99.34,1.32,39.46,60.2,47.67
gpt-4o,few_shot,204,87,7,6,70.1,198,96,7,3,67.35,156,135,7,6,53.61,99.01,22.7,53.61,70.1,60.75
gpt-4o,zero_shot,201,89,8,6,69.31,202,87,9,6,69.9,156,134,8,6,53.79,98.68,2.96,53.79,69.31,60.57
gpt-4o,zero_shot_self_refine,199,90,10,5,68.86,189,98,11,6,65.85,146,143,10,5,50.52,98.03,3.95,50.52,68.86,58.28
