Index,Natural Language,Ground Truth,Model,Model Output,Match Status,NL Length,GT Nesting Depth,GT Operators,Model Nesting Depth,Model Operators,Operator Overlap,Missing in Model,Extra in Model
0,Something good will eventually happen,F(x1),claude-3.5-sonnet_few_shot,F(x1),EXACT,5,1,F,1,F,F,,
0,Something good will eventually happen,F(x1),claude-3.5-sonnet_zero_shot,F(x1),EXACT,5,1,F,1,F,F,,
0,Something good will eventually happen,F(x1),claude-3.5-sonnet_zero_shot_self_refine,F(x1),EXACT,5,1,F,1,F,F,,
0,Something good will eventually happen,F(x1),gemini-1.5-flash_few_shot,F(x1),EXACT,5,1,F,1,F,F,,
0,Something good will eventually happen,F(x1),gemini-1.5-flash_zero_shot,F(x1),EXACT,5,1,F,1,F,F,,
0,Something good will eventually happen,F(x1),gemini-1.5-flash_zero_shot_self_refine,F(x1),EXACT,5,1,F,1,F,F,,
0,Something good will eventually happen,F(x1),gemini-1.5-pro_few_shot,F(x1),EXACT,5,1,F,1,F,F,,
0,Something good will eventually happen,F(x1),gemini-1.5-pro_zero_shot,F(x1),EXACT,5,1,F,1,F,F,,
0,Something good will eventually happen,F(x1),gemini-1.5-pro_zero_shot_self_refine,F(x1),EXACT,5,1,F,1,F,F,,
0,Something good will eventually happen,F(x1),gemini-2.5-flash_few_shot,F(x1),EXACT,5,1,F,1,F,F,,
0,Something good will eventually happen,F(x1),gemini-2.5-flash_zero_shot,F(x1),EXACT,5,1,F,1,F,F,,
0,Something good will eventually happen,F(x1),gemini-2.5-flash_zero_shot_self_refine,F(x1),EXACT,5,1,F,1,F,F,,
1,The first traffic light is infinitely often green,G(F(x1)),claude-3.5-sonnet_few_shot,G(F(x1)),EXACT,8,2,"F, G",2,"F, G","F, G",,
1,The first traffic light is infinitely often green,G(F(x1)),claude-3.5-sonnet_zero_shot,G(F(x1)),EXACT,8,2,"F, G",2,"F, G","F, G",,
1,The first traffic light is infinitely often green,G(F(x1)),claude-3.5-sonnet_zero_shot_self_refine,G(F(x1)),EXACT,8,2,"F, G",2,"F, G","F, G",,
1,The first traffic light is infinitely often green,G(F(x1)),gemini-1.5-flash_few_shot,G(F(x1)),EXACT,8,2,"F, G",2,"F, G","F, G",,
1,The first traffic light is infinitely often green,G(F(x1)),gemini-1.5-flash_zero_shot,G(F(x1)),EXACT,8,2,"F, G",2,"F, G","F, G",,
1,The first traffic light is infinitely often green,G(F(x1)),gemini-1.5-flash_zero_shot_self_refine,G(F(x1)),EXACT,8,2,"F, G",2,"F, G","F, G",,
1,The first traffic light is infinitely often green,G(F(x1)),gemini-1.5-pro_few_shot,G(F(x1)),EXACT,8,2,"F, G",2,"F, G","F, G",,
1,The first traffic light is infinitely often green,G(F(x1)),gemini-1.5-pro_zero_shot,G(F(x1)),EXACT,8,2,"F, G",2,"F, G","F, G",,
1,The first traffic light is infinitely often green,G(F(x1)),gemini-1.5-pro_zero_shot_self_refine,G(F(x1)),EXACT,8,2,"F, G",2,"F, G","F, G",,
1,The first traffic light is infinitely often green,G(F(x1)),gemini-2.5-flash_few_shot,G(F(Green)),WRONG,8,2,"F, G",2,"F, G","F, G",,
1,The first traffic light is infinitely often green,G(F(x1)),gemini-2.5-flash_zero_shot,G(F(x1)),EXACT,8,2,"F, G",2,"F, G","F, G",,
1,The first traffic light is infinitely often green,G(F(x1)),gemini-2.5-flash_zero_shot_self_refine,G(F(Green)),WRONG,8,2,"F, G",2,"F, G","F, G",,
2,Each process 1 and 2 will eventually enter its critical section,F(x1),claude-3.5-sonnet_few_shot,(F(x1) & F(x1)),WRONG,11,1,F,3,F,F,,
2,Each process 1 and 2 will eventually enter its critical section,F(x1),claude-3.5-sonnet_zero_shot,(F(x1) & F(x1)),WRONG,11,1,F,3,F,F,,
2,Each process 1 and 2 will eventually enter its critical section,F(x1),claude-3.5-sonnet_zero_shot_self_refine,(F(x1) & F(x1)),WRONG,11,1,F,3,F,F,,
2,Each process 1 and 2 will eventually enter its critical section,F(x1),gemini-1.5-flash_few_shot,(F(x1) & F(x1)),WRONG,11,1,F,3,F,F,,
2,Each process 1 and 2 will eventually enter its critical section,F(x1),gemini-1.5-flash_zero_shot,(F(x1) & F(x1)),WRONG,11,1,F,3,F,F,,
2,Each process 1 and 2 will eventually enter its critical section,F(x1),gemini-1.5-flash_zero_shot_self_refine,(F(x1) & F(x1)),WRONG,11,1,F,3,F,F,,
2,Each process 1 and 2 will eventually enter its critical section,F(x1),gemini-1.5-pro_few_shot,(F(x1) & F(x1)),WRONG,11,1,F,3,F,F,,
2,Each process 1 and 2 will eventually enter its critical section,F(x1),gemini-1.5-pro_zero_shot,(F(x1) & F(x1)),WRONG,11,1,F,3,F,F,,
2,Each process 1 and 2 will eventually enter its critical section,F(x1),gemini-1.5-pro_zero_shot_self_refine,(F(x1) & F(x1)),WRONG,11,1,F,3,F,F,,
2,Each process 1 and 2 will eventually enter its critical section,F(x1),gemini-2.5-flash_few_shot,(F(x1) & F(x1)),WRONG,11,1,F,3,F,F,,
2,Each process 1 and 2 will eventually enter its critical section,F(x1),gemini-2.5-flash_zero_shot,F(x1),EXACT,11,1,F,1,F,F,,
2,Each process 1 and 2 will eventually enter its critical section,F(x1),gemini-2.5-flash_zero_shot_self_refine,F(x1),EXACT,11,1,F,1,F,F,,
3,Each waiting process will eventually enter its critical section,G(x1->F(x2)),claude-3.5-sonnet_few_shot,G((x1 -> F(x2))),WRONG,9,2,"->, F, G",3,"->, F, G","->, F, G",,
3,Each waiting process will eventually enter its critical section,G(x1->F(x2)),claude-3.5-sonnet_zero_shot,G((x1 -> F(x2))),WRONG,9,2,"->, F, G",3,"->, F, G","->, F, G",,
3,Each waiting process will eventually enter its critical section,G(x1->F(x2)),claude-3.5-sonnet_zero_shot_self_refine,G((x1 -> F(x2))),WRONG,9,2,"->, F, G",3,"->, F, G","->, F, G",,
3,Each waiting process will eventually enter its critical section,G(x1->F(x2)),gemini-1.5-flash_few_shot,G((x1 -> F(x2))),WRONG,9,2,"->, F, G",3,"->, F, G","->, F, G",,
3,Each waiting process will eventually enter its critical section,G(x1->F(x2)),gemini-1.5-flash_zero_shot,G((x1 -> F(x2))),WRONG,9,2,"->, F, G",3,"->, F, G","->, F, G",,
3,Each waiting process will eventually enter its critical section,G(x1->F(x2)),gemini-1.5-flash_zero_shot_self_refine,G((x1 -> F(x2))),WRONG,9,2,"->, F, G",3,"->, F, G","->, F, G",,
3,Each waiting process will eventually enter its critical section,G(x1->F(x2)),gemini-1.5-pro_few_shot,G((x1 -> F(x2))),WRONG,9,2,"->, F, G",3,"->, F, G","->, F, G",,
3,Each waiting process will eventually enter its critical section,G(x1->F(x2)),gemini-1.5-pro_zero_shot,G((x1 -> F(x2))),WRONG,9,2,"->, F, G",3,"->, F, G","->, F, G",,
3,Each waiting process will eventually enter its critical section,G(x1->F(x2)),gemini-1.5-pro_zero_shot_self_refine,G((x1 -> F(x2))),WRONG,9,2,"->, F, G",3,"->, F, G","->, F, G",,
3,Each waiting process will eventually enter its critical section,G(x1->F(x2)),gemini-2.5-flash_few_shot,G((x1 -> F(x2))),WRONG,9,2,"->, F, G",3,"->, F, G","->, F, G",,
3,Each waiting process will eventually enter its critical section,G(x1->F(x2)),gemini-2.5-flash_zero_shot,G((x1 -> F(x2))),WRONG,9,2,"->, F, G",3,"->, F, G","->, F, G",,
3,Each waiting process will eventually enter its critical section,G(x1->F(x2)),gemini-2.5-flash_zero_shot_self_refine,G((x1 -> F(x2))),WRONG,9,2,"->, F, G",3,"->, F, G","->, F, G",,
4,a red phase must be preceded immediately by a yellow phase,G(x1->(Y(x2))),claude-3.5-sonnet_few_shot,G((x1 -> Y(x2))),WRONG,11,3,"G, Y",3,"->, G, Y","G, Y",,->
4,a red phase must be preceded immediately by a yellow phase,G(x1->(Y(x2))),claude-3.5-sonnet_zero_shot,G((x1 -> Y(x2))),WRONG,11,3,"G, Y",3,"->, G, Y","G, Y",,->
4,a red phase must be preceded immediately by a yellow phase,G(x1->(Y(x2))),claude-3.5-sonnet_zero_shot_self_refine,G((x1 -> Y(x2))),WRONG,11,3,"G, Y",3,"->, G, Y","G, Y",,->
4,a red phase must be preceded immediately by a yellow phase,G(x1->(Y(x2))),gemini-1.5-flash_few_shot,G((x1 -> Y(x2))),WRONG,11,3,"G, Y",3,"->, G, Y","G, Y",,->
4,a red phase must be preceded immediately by a yellow phase,G(x1->(Y(x2))),gemini-1.5-flash_zero_shot,G((x1 -> Y(x2))),WRONG,11,3,"G, Y",3,"->, G, Y","G, Y",,->
4,a red phase must be preceded immediately by a yellow phase,G(x1->(Y(x2))),gemini-1.5-flash_zero_shot_self_refine,G((x1 -> Y(x2))),WRONG,11,3,"G, Y",3,"->, G, Y","G, Y",,->
4,a red phase must be preceded immediately by a yellow phase,G(x1->(Y(x2))),gemini-1.5-pro_few_shot,G((x1 -> Y(x2))),WRONG,11,3,"G, Y",3,"->, G, Y","G, Y",,->
4,a red phase must be preceded immediately by a yellow phase,G(x1->(Y(x2))),gemini-1.5-pro_zero_shot,G((x1 -> Y(x2))),WRONG,11,3,"G, Y",3,"->, G, Y","G, Y",,->
4,a red phase must be preceded immediately by a yellow phase,G(x1->(Y(x2))),gemini-1.5-pro_zero_shot_self_refine,G((x1 -> Y(x2))),WRONG,11,3,"G, Y",3,"->, G, Y","G, Y",,->
4,a red phase must be preceded immediately by a yellow phase,G(x1->(Y(x2))),gemini-2.5-flash_few_shot,G((x1 -> Y(x2))),WRONG,11,3,"G, Y",3,"->, G, Y","G, Y",,->
4,a red phase must be preceded immediately by a yellow phase,G(x1->(Y(x2))),gemini-2.5-flash_zero_shot,G((x1 -> Y(x2))),WRONG,11,3,"G, Y",3,"->, G, Y","G, Y",,->
4,a red phase must be preceded immediately by a yellow phase,G(x1->(Y(x2))),gemini-2.5-flash_zero_shot_self_refine,G((x1 -> Y(x2))),WRONG,11,3,"G, Y",3,"->, G, Y","G, Y",,->
5,Both traffic lights are infinitely often green,G(F(x1))&G(F(x2)),claude-3.5-sonnet_few_shot,(G(F(x1)) & G(F(x2))),WRONG,7,4,"F, G",5,"F, G","F, G",,
